Fund House,Funds,NAV,Fund Type,Minimum SIP,Min_LumpSum,AUM,Returns (1Yr),Returns (3Yr),Returns (5Yr),Sharpe Ratio,Beta,Alpha 
Aditya Birla Sun Life,Aditya Birla SL Advance Fund(G),30.72,Fund of Funds,500,5000,9.7,2.24,5.54,5.74,-0.51,0.17,-0.43
Aditya Birla Sun Life,Aditya Birla SL Arbitrage Fund(G),22.06,Arbitrage Fund,500,5000,5348.8,3.64,3.94,4.85,0.98,-0.01,0.86
Aditya Birla Sun Life,Aditya Birla SL Asset Allocator FoF(G),42.99,Hybrid Funds,500,5000,142.2,-1.97,13.97,9.15,-0.63,0.44,-4.54
Aditya Birla Sun Life,Aditya Birla SL Bal Bhavishya Yojna-Reg(G),13.59,Hybrid Funds,500,5000,614.5,-4.97,9.56,,-0.39,1.03,-5.97
Aditya Birla Sun Life,Aditya Birla SL Balanced Advantage Fund(G),74.3,Hybrid Funds,500,5000,6745.2,-0.56,11.02,8.05,-0.32,0.54,-2.37
Aditya Birla Sun Life,Aditya Birla SL Banking & Financial Services Fund-Reg(G),39.61,Equity Funds,500,5000,2371.1,-3.63,11.16,7.27,-0.17,1.08,2.29
Aditya Birla Sun Life,Aditya Birla SL Banking & PSU Debt(G),300.3,Debt Funds,500,5000,8506.4,2.83,6.02,6.65,0.13,0.19,0.23
Aditya Birla Sun Life,Aditya Birla SL CEF-Global Agri-Reg(G),36.82,Equity Funds,500,5000,15.7,8.07,15.78,9.35,0.38,0.1,9.27
Aditya Birla Sun Life,Aditya Birla SL Corp Bond Fund(G),91.42,Debt Funds,100,5000,13504.1,3.13,6.56,7.05,0.34,0.28,0.55
Aditya Birla Sun Life,Aditya Birla SL Credit Risk Fund-Reg(G),16.91,Debt Funds,500,5000,1204.7,6.31,6.27,6.04,1.36,0.19,3.73
Aditya Birla Sun Life,Aditya Birla SL Credit Risk Fund-Segregated Portfolio 1-Reg(G),0.16,Debt Funds,500,5000,66.4,-59.02,,,-1.08,0.07,-66.4
Aditya Birla Sun Life,Aditya Birla SL Digital India Fund(G),114.17,Equity Funds,100,5000,3035.9,-17.82,27.94,24.57,-0.88,0.95,-13.91
Aditya Birla Sun Life,Aditya Birla SL Dividend Yield Fund(G),258.33,Equity Funds,500,5000,810.4,-3.06,18.57,7.83,-0.2,0.81,0.98
Aditya Birla Sun Life,Aditya Birla SL Dynamic Bond Fund-Reg(G),37.51,Debt Funds,500,5000,1780.8,5.17,4.76,4.38,0.8,0.34,2.6
Aditya Birla Sun Life,Aditya Birla SL Dynamic Bond Fund-Segregated Portfolio 1-DAP(G),0.4,Debt Funds,500,5000,50.1,-59.01,,,-1.08,0.08,-66.4
Aditya Birla Sun Life,Aditya Birla SL Dynamic Bond Fund-Segregated Portfolio 1-Reg(G),0.57,Debt Funds,500,5000,50.1,-59.01,,,-1.08,0.07,-66.38
Aditya Birla Sun Life,Aditya Birla SL Equity Advantage Fund(G),607.94,Equity Funds,500,5000,5378.6,-16.18,14.62,6.76,-0.91,1,-12.52
Aditya Birla Sun Life,Aditya Birla SL Equity Hybrid 95 Fund(G),1049.77,Hybrid Funds,500,5000,7687.6,-6.56,11.88,6.98,-0.57,1.08,-7.43
Aditya Birla Sun Life,Aditya Birla SL Equity Savings Fund-Reg(G),17.28,Hybrid Funds,500,5000,505.2,-3.25,8.03,5.72,-0.73,0.46,-5.34
Aditya Birla Sun Life,Aditya Birla SL ESG Fund-Reg(G),12.25,Equity Funds,500,5000,970.1,-13.76,,,-0.8,0.98,-10.18
